# bench_date,"2026-07-02_14-47-16"
# problem_dir,"casc/FOF"
# home,
# logs_dir,"bench/logs/casc_requested"
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,75000
# mode,"ordered-fallback"
# portfolio,"casc-150"
# casc,
# only_ip,true
# version_vip,"a76d405"

section,problem,expected_status,rating,vip,vip_time_s,vip_profile,vip_axiom_selection,vip_raw_clauses,vip_equality_literals,vip_equality_ratio,vip_avg_term,vip_unit_ratio,vip_negative_ratio
result,"FEQ/GEO350+1.p","Unknown","","Timeout",3.042748,"equality-light","false","309","1650","0.456179","3.319325","0.126214","0.836328"
result,"FEQ/GEO442+1.p","Unknown","","Timeout",3.011559,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/GEO445+1.p","Unknown","","Timeout",3.012844,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/GEO452+1.p","Unknown","","Timeout",3.012472,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/GEO475+1.p","Unknown","","Timeout",3.012145,"unknown","false","0","0","0.000000","0.000000","0.000000","0.000000"
result,"FEQ/GEO491+1.p","Unknown","","Timeout",3.049994,"equality-light","false","75","14","0.076087","5.282609","0.253333","0.603261"
result,"FEQ/GEO495+1.p","Unknown","","Timeout",3.037300,"equality-light","false","102","22","0.084615","5.165385","0.215686","0.584615"
result,"FEQ/GEO499+1.p","Unknown","","Theorem",0.016567,"equality-heavy","false","167","84","0.181034","4.747845","0.149701","0.545259"
result,"FEQ/GEO500+1.p","Unknown","","Theorem",0.017846,"equality-heavy","false","172","89","0.187368","4.787368","0.145349","0.545263"
result,"FEQ/GEO504+1.p","Unknown","","Theorem",0.020106,"equality-heavy","false","191","99","0.183333","4.803704","0.130890","0.548148"
result,"FEQ/GEO507+1.p","Unknown","","Theorem",0.022837,"equality-heavy","false","213","113","0.188963","4.806020","0.126761","0.550167"
result,"FEQ/GEO513+1.p","Unknown","","Theorem",0.035280,"equality-heavy","false","265","162","0.203774","4.774843","0.113208","0.552201"
result,"FEQ/GEO514+1.p","Unknown","","Theorem",0.029041,"equality-heavy","false","264","163","0.204261","4.773183","0.106061","0.551378"
result,"FEQ/GEO520+1.p","Unknown","","Theorem",0.033493,"equality-heavy","false","287","177","0.195149","4.743109","0.104530","0.568908"
result,"FEQ/GEO524+1.p","Unknown","","Theorem",0.033066,"equality-heavy","false","297","201","0.211579","4.746316","0.094276","0.553684"
result,"FEQ/GEO527+1.p","Unknown","","Theorem",0.033000,"equality-heavy","false","307","209","0.212831","4.747454","0.097720","0.550916"
