# bench_date,"2026-05-15_13-13-54"
# problem_dir,"/home/delahayed/problems/TPTP-v9.2.1/Problems/SET"
# home,"/home/delahaye/ip/bench/problems/TPTP-v9.2.1/Problems/SET"
# logs_dir,"/home/delahayed/benchs-ip/logs"
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,
# only_ip,false
# version_ip,"8dfcd15"
# version_vampire,"Vampire 5.0.1 (Release build, commit 9eeba91d1 on 2026-05-09 07:13:19 +0100)"
# version_e,"E 3.3.2 Countess Grey (37fde70d516b57cb64294f8fe39bc16ece8198f8)"
# version_zenon,"zenon version 0.8.5 [a270] 2020-10-23"

section,problem,expected_status,rating,ip,ip_time_s,vampire,vampire_time_s,e,e_time_s,zenon,zenon_time_s
result,"SET084+1.p","Theorem","0.24 v9.1.0","Unsatisfiable",0.140906,"Theorem",0.030657,"Theorem",0.011853,"Timeout",3.241307
result,"SET086+1.p","Theorem","0.09 v9.1.0","Unsatisfiable",0.138627,"Theorem",0.041481,"Theorem",0.008479,"Unsatisfiable",0.020290
result,"SET090+1.p","Theorem","0.27 v9.1.0","Unsatisfiable",0.133753,"Theorem",0.048639,"Theorem",0.011415,"Timeout",3.085454
result,"SET091+1.p","Theorem","0.15 v9.0.0","Unsatisfiable",0.134965,"Theorem",0.043709,"Theorem",0.010411,"Timeout",3.662277
result,"SET093+1.p","Theorem","0.12 v9.1.0","Timeout",3.006886,"Theorem",0.074468,"Theorem",0.007379,"Timeout",3.578636
result,"SET094+1.p","Theorem","0.27 v9.1.0","Unsatisfiable",0.134806,"Theorem",0.067270,"Theorem",0.011730,"Timeout",3.213914
result,"SET095+1.p","Theorem","0.30 v9.1.0","Unsatisfiable",0.169333,"Theorem",0.075365,"Theorem",2.258398,"Timeout",3.305498
result,"SET096+1.p","Theorem","0.52 v9.0.0","Unsatisfiable",0.150834,"Theorem",0.090554,"Theorem",1.622389,"Timeout",3.701406
result,"SET097+1.p","Theorem","0.67 v9.0.0","Unsatisfiable",0.152874,"Timeout",2.934973,"Timeout",3.055270,"Timeout",3.408212
result,"SET098+1.p","Theorem","0.70 v9.0.0","Unsatisfiable",0.155541,"Theorem",0.057332,"Timeout",3.053219,"Timeout",3.616836
result,"SET099+1.p","Theorem","0.85 v9.1.0","Unsatisfiable",0.150573,"Theorem",0.078342,"Timeout",3.050914,"Timeout",3.627620
result,"SET101+1.p","Theorem","0.15 v9.1.0","Timeout",3.006931,"Theorem",0.030565,"Theorem",0.010080,"Timeout",3.329713
