# bench_date,"2026-05-17_18-21-10"
# problem_dir,"/home/delahayed/problems/casc/casc-30-2025/Problems/FOF"
# home,"/home/delahaye/ip/bench/problems/casc/casc-30-2025/Problems/FOF"
# logs_dir,"/home/delahayed/benchs-ip/logs"
# time_limit_seconds,3
# robust_time_limit,true
# size_limit_gb,
# max_clauses,
# mode,"ordered-fallback"
# casc,"casc-30-2025_fof"
# only_ip,false
# version_ip,"c7cb440"
# version_vampire,"Vampire 5.0.1 (Release build, commit 9eeba91d1 on 2026-05-09 07:13:19 +0100)"
# version_e,"E 3.3.2 Countess Grey (37fde70d516b57cb64294f8fe39bc16ece8198f8)"
# version_zenon,"zenon version 0.8.5 [a270] 2020-10-23"

section,problem,expected_status,rating,ip,ip_time_s,vampire,vampire_time_s,e,e_time_s,zenon,zenon_time_s
result,"FEQ/GEO169+2.p","Unknown","","Timeout",3.009434,"Theorem",0.720222,"Timeout",3.055146,"Timeout",3.444230
result,"FEQ/GEO271+1.p","Unknown","","Timeout",3.013489,"Theorem",0.427251,"Theorem",0.084593,"Timeout",4.192253
result,"FEQ/GEO274+1.p","Unknown","","Timeout",3.014268,"Theorem",0.158198,"Theorem",0.082507,"Timeout",3.184983
result,"FEQ/GEO277+1.p","Unknown","","Timeout",3.013598,"Theorem",0.267652,"Theorem",0.094281,"Timeout",4.701354
result,"FEQ/GEO278+1.p","Unknown","","Timeout",3.013745,"Theorem",0.286082,"Theorem",0.091723,"Timeout",3.329319
result,"FEQ/GEO281+1.p","Unknown","","Timeout",3.014029,"Theorem",0.484836,"Theorem",1.961729,"Timeout",3.953062
result,"FEQ/GEO282+1.p","Unknown","","Timeout",3.013731,"Theorem",0.144866,"Theorem",0.178825,"Timeout",3.924754
result,"FEQ/GEO288+1.p","Unknown","","Timeout",3.025119,"Theorem",0.883137,"Theorem",2.359847,"Timeout",3.333250
result,"FEQ/GEO290+1.p","Unknown","","Timeout",3.013534,"Theorem",2.344354,"Theorem",0.456782,"Timeout",3.115711
result,"FEQ/GEO292+1.p","Unknown","","Timeout",3.013476,"Theorem",0.228293,"Timeout",3.041980,"Timeout",3.171232
result,"FEQ/GEO293+1.p","Unknown","","Timeout",3.014644,"Theorem",0.544182,"Timeout",3.040915,"Timeout",3.811337
result,"FEQ/GEO295+1.p","Unknown","","Timeout",3.019979,"Theorem",0.244317,"Timeout",3.045126,"Timeout",4.724617
result,"FEQ/GEO298+1.p","Unknown","","Timeout",3.013981,"Theorem",0.715256,"Theorem",0.485222,"Timeout",3.902755
result,"FEQ/GEO299+1.p","Unknown","","Timeout",3.013689,"Theorem",0.099130,"Theorem",0.051695,"Timeout",4.414259
result,"FEQ/GEO300+1.p","Unknown","","Timeout",3.013999,"Theorem",0.100231,"Theorem",0.095723,"Timeout",3.400803
result,"FEQ/GEO310+1.p","Unknown","","Timeout",3.013971,"Timeout",2.916989,"Timeout",3.053026,"Timeout",3.807312
result,"FEQ/GEO311+1.p","Unknown","","Timeout",3.013931,"Timeout",2.929889,"Timeout",3.037554,"Timeout",3.417566
result,"FEQ/GEO317+1.p","Unknown","","Timeout",3.014375,"Timeout",2.959637,"Timeout",3.040900,"Timeout",3.649963
result,"FEQ/GEO319+1.p","Unknown","","Timeout",3.015400,"Timeout",2.923696,"Timeout",3.051651,"Timeout",3.388900
result,"FEQ/GEO321+1.p","Unknown","","Timeout",3.015245,"Theorem",1.002401,"Timeout",3.042618,"Timeout",3.767169
result,"FEQ/GEO323+1.p","Unknown","","Timeout",3.013889,"Timeout",2.923516,"Timeout",3.043356,"Timeout",3.479506
result,"FEQ/GEO325+1.p","Unknown","","Timeout",3.014494,"Timeout",2.923476,"Timeout",3.039062,"Timeout",3.507262
result,"FEQ/GEO331+1.p","Unknown","","Timeout",3.019024,"Theorem",0.113689,"Theorem",0.053577,"Timeout",3.415028
result,"FEQ/GEO337+1.p","Unknown","","Timeout",3.014571,"Theorem",0.525613,"Timeout",3.039578,"Timeout",3.405564
result,"FEQ/GEO340+1.p","Unknown","","Timeout",3.014441,"Theorem",1.205182,"Timeout",3.043115,"Timeout",3.815911
result,"FEQ/GEO345+1.p","Unknown","","Timeout",3.014223,"Timeout",2.923498,"Timeout",3.045374,"Timeout",3.318619
result,"FEQ/GEO350+1.p","Unknown","","Timeout",3.014061,"Timeout",2.914227,"Timeout",3.046475,"Timeout",3.982689
result,"FEQ/GEO442+1.p","Unknown","","Error",5.049363,"Timeout",2.924776,"Timeout",3.041380,"Timeout",4.171674
result,"FEQ/GEO445+1.p","Unknown","","Error",5.051390,"Timeout",2.931229,"Timeout",3.040382,"Timeout",4.313557
result,"FEQ/GEO452+1.p","Unknown","","Error",5.052806,"Theorem",0.781192,"Timeout",3.042002,"Unsatisfiable",0.430389
result,"FEQ/GEO475+1.p","Unknown","","Error",5.050903,"Timeout",2.922850,"Timeout",3.048361,"Timeout",4.296447
result,"FEQ/GEO491+1.p","Unknown","","Timeout",3.038338,"Timeout",3.006113,"Timeout",3.049025,"Timeout",4.508121
result,"FEQ/GEO495+1.p","Unknown","","Timeout",3.029884,"Timeout",2.971700,"Timeout",3.058744,"Timeout",3.983435
result,"FEQ/GEO499+1.p","Unknown","","Timeout",3.021960,"Theorem",0.096770,"Theorem",0.070438,"Timeout",3.911473
result,"FEQ/GEO500+1.p","Unknown","","Timeout",3.010580,"Theorem",1.676005,"Theorem",0.171650,"Timeout",4.341798
result,"FEQ/GEO504+1.p","Unknown","","Timeout",3.011315,"Theorem",0.140479,"Theorem",0.094591,"Timeout",4.269797
result,"FEQ/GEO507+1.p","Unknown","","Timeout",3.011595,"Theorem",1.033507,"Timeout",3.051491,"Timeout",4.904847
result,"FEQ/GEO513+1.p","Unknown","","Timeout",3.011125,"Theorem",1.048532,"Timeout",3.057017,"Timeout",4.453309
result,"FEQ/GEO514+1.p","Unknown","","Timeout",3.014585,"Theorem",1.021507,"Timeout",3.051779,"Timeout",3.999559
result,"FEQ/GEO520+1.p","Unknown","","Timeout",3.010856,"Timeout",2.916277,"Timeout",3.052941,"Timeout",4.559456
result,"FEQ/GEO524+1.p","Unknown","","Timeout",3.013483,"Theorem",0.054747,"Theorem",0.019610,"Timeout",3.488518
result,"FEQ/GEO527+1.p","Unknown","","Timeout",3.012562,"Timeout",2.969439,"Timeout",3.056437,"Timeout",3.124993
result,"FEQ/GEO532+1.p","Unknown","","Timeout",3.012516,"Timeout",2.913266,"Timeout",3.051328,"Timeout",5.014429
result,"FEQ/GEO559+1.p","Unknown","","Timeout",3.030075,"Theorem",0.402115,"Theorem",0.093153,"Timeout",4.113857
result,"FEQ/GEO593+1.p","Unknown","","Timeout",3.012483,"Theorem",0.426420,"Theorem",0.101834,"Timeout",4.507141
result,"FEQ/GEO605+1.p","Unknown","","Timeout",3.009370,"Theorem",0.394273,"Theorem",0.129968,"Timeout",9.636136
result,"FEQ/GEO610+1.p","Unknown","","Timeout",3.011391,"Theorem",0.395639,"Timeout",3.051120,"Timeout",35.987271
result,"FEQ/GEO625+1.p","Unknown","","Timeout",3.026059,"Theorem",0.406087,"Theorem",0.127676,"Timeout",25.779558
result,"FEQ/GEO641+1.p","Unknown","","Timeout",3.013148,"Theorem",0.408277,"Theorem",0.086420,"Timeout",3.111050
result,"FEQ/GRA002+2.p","Unknown","","Unsatisfiable",0.423959,"Theorem",0.502587,"Theorem",0.515932,"Timeout",3.987142
